AGNO,COD_COM_RBD,COD_DEPE2,RURAL_RBD,COD_ENSE,COD_GRADO,MRUN,GEN_ALU,EDAD_ALU,COD_COM_ALU,PROM_GRAL,ASISTENCIA,SIT_FIN_R,PROM_GRAL_ANTERIOR,ASISTENCIA_ANTERIOR,EE_GRATUITO,PRIORITARIO_ALU,PREFERENTE_ALU,BEN_SEP,DESERTAR
2021,13126,2,0,310,3,7372226,1,16.0,13126,6.7,100,P,,,1,1,0,1,0
2018,13111,2,0,310,3,17120174,1,16.0,13111,5.9,98,P,,,0,0,1,0,0
2024,16107,1,0,410,3,11436476,2,16.0,16107,5.9,90,P,,,1,1,0,1,0
2021,5109,2,0,410,4,19770429,2,17.0,5109,5.4,85,P,5.3,100.0,1,1,0,1,0
2024,5401,2,0,310,3,9794113,2,16.0,5401,5.8,84,P,,,0,0,1,0,0
2024,13127,2,0,510,3,7628912,1,17.0,13127,5.7,98,P,,,1,1,0,1,0
2018,13402,2,0,310,3,15341139,1,16.0,13402,6.0,93,P,,,1,1,0,1,0
2018,13112,2,0,310,3,5054748,2,16.0,13112,4.8,98,P,,,1,1,0,1,0
2024,10203,1,0,510,4,18319202,1,17.0,10208,5.5,91,P,5.6,95.0,1,1,0,1,0
2021,5801,1,0,610,4,17676987,2,18.0,5801,5.5,85,P,5.5,100.0,1,0,1,1,0
2023,2201,2,0,310,4,3748761,2,17.0,2201,5.7,91,P,5.8,93.0,0,0,1,0,0
2023,13109,2,0,610,4,20664893,2,17.0,13401,5.6,91,P,6.4,97.0,1,1,0,1,0
2021,7301,1,0,310,4,20068246,2,17.0,7307,6.7,95,P,7.0,100.0,1,1,0,1,0
2023,13101,1,0,310,3,17277853,1,16.0,13101,6.4,95,P,,,1,0,1,1,0
2023,2101,1,0,610,3,21895105,2,16.0,2101,6.4,99,P,,,1,1,0,1,0
2017,13123,1,0,310,3,24568452,1,16.0,13105,5.5,90,P,,,1,1,0,1,0
2019,13119,1,0,310,4,18523515,2,18.0,13119,6.4,88,P,6.1,95.0,1,1,0,1,0
2020,5803,1,0,610,4,6199612,1,18.0,5803,4.8,85,P,4.9,88.0,1,1,0,1,0
2023,10402,1,1,310,3,19366823,2,18.0,10402,5.3,74,P,,,1,1,0,1,0
2024,5101,2,0,310,3,24456999,1,16.0,5101,6.7,99,P,,,0,1,0,1,0
2023,13201,2,0,310,3,2634018,2,16.0,13201,5.9,90,P,,,1,1,0,1,0
2023,8105,5,0,410,4,2846425,2,18.0,8105,6.4,98,P,6.4,99.0,1,1,0,1,0
2017,13127,2,0,310,4,14152673,2,17.0,13108,5.9,94,P,,,1,0,1,1,0
2024,8304,2,0,310,3,1029381,2,16.0,8304,6.3,89,P,,,1,0,1,1,0
2021,9101,2,0,310,3,3993839,1,17.0,9101,6.2,100,P,,,1,1,0,0,0
2022,13201,2,0,510,3,8453442,2,16.0,13201,5.5,88,P,,,1,0,1,1,0
2018,14103,1,0,310,3,799089,1,16.0,14103,4.8,98,R,,,1,0,1,1,0
2024,13101,1,0,410,3,2244519,1,16.0,13127,6.5,94,P,,,1,1,0,1,0
2022,6115,1,0,410,3,20597754,1,16.0,6115,5.8,99,P,,,1,1,0,1,0
2020,13601,1,0,510,3,24182003,2,18.0,6101,6.0,100,P,,,1,1,0,1,0
2019,6101,4,0,610,4,15204148,2,17.0,6101,6.1,92,P,5.4,94.0,1,1,0,0,0
2018,13115,2,0,310,3,16833875,1,17.0,13115,5.3,97,P,,,1,0,1,1,0
2019,7109,1,0,310,3,12604115,2,16.0,7109,5.6,87,P,,,1,1,0,1,0
2021,16101,4,0,610,3,9773717,2,16.0,16101,4.9,85,P,,,1,0,1,0,0
2019,13119,2,0,310,3,14842473,2,16.0,13124,6.0,93,P,,,0,0,1,0,0
2021,1101,1,0,310,3,15308790,1,16.0,1101,5.8,100,P,,,1,0,1,1,0
